ABBR,coladj_ind_income,coladj_ind_income_nodis,coladj_hh_income,coladj_hh_income_nodis
AK,35259.204121409195,48971.116835290544,61801.54944613667,93045.12198705204
AL,37491.05327137842,46693.40271071676,56236.57990706763,89524.09084195817
AR,34517.275896586245,46023.03452878166,52121.08660384523,83992.03801502653
AZ,36002.880230418436,47003.76030082406,63305.06440515241,93007.44059524762
CA,33750.477391621,44408.52288371184,67500.954783242,102139.60263253724
CO,39115.97887737141,53784.47095638569,69044.5922159202,110502.64032857423
CT,32906.489159662284,56411.12427370677,67317.27496662342,117241.11994885391
DC,53288.807574115854,78156.91777536992,62170.27550313516,142991.63365721088
DE,35711.73487608028,51016.76410868611,69892.96682889998,103053.86349954596
FL,34218.45058855735,43017.48073990067,59246.803019045015,87990.3015134332
GA,37626.20456113213,49123.10039925584,61874.20305608395,98141.68356361965
HI,35988.051966747036,42285.96106092777,82322.66887393386,111562.96109691582
IA,36219.171260087605,50933.209584498196,59648.447668956775,97904.94731242431
ID,35946.92926080042,45750.63724101871,64050.8921374262,94115.59661009563
IL,34583.271577491236,49404.673682130335,59186.79907119214,98809.34736426067
IN,36571.42857142857,48979.5918367347,57251.70068027211,92408.16326530612
KS,36380.274302804406,50218.17004988339,59235.12147217356,97088.46209644122
KY,35793.382698373636,47538.08639627749,52571.53083823628,89819.01970873134
LA,35142.39299804396,46414.48131817127,51055.92944998839,85093.21574998065
MA,36552.71358207455,55742.888212663696,62870.66736116823,121537.77266039788
MD,42902.087901611216,57202.78386881495,76365.71646486796,122985.98531795215
ME,31763.0476644234,44666.78577809541,49957.31840470093,84668.37393047863
MI,34192.052484800566,48082.57380675079,56630.586927950935,92959.64269305153
MN,33861.08745395405,51304.67796053644,64028.23809474948,104661.54303949435
MO,35168.313349671946,47697.02498049258,55280.19254651559,92316.82254288885
MS,34350.096180269305,44655.125034350094,51525.14427040396,80837.22634423376
MT,33932.51200390335,46130.47383537187,60989.80915734262,90930.26092549264
NC,37228.893876378796,47865.72069820131,57438.864837841575,92965.86642272877
ND,42726.8525303541,56255.14356898865,62906.55332965063,106873.49920521291
NE,37732.068919460406,50086.817149726194,61773.74115132898,100173.63429945239
NH,35235.10157908889,50070.933822915795,65370.38582436229,106539.82030098194
NJ,40088.636342739446,55167.84817808181,72191.72666170156,119530.33771917726
NM,32992.77458236646,43990.366109821945,54987.95763727743,84681.45476140725
NV,38406.045319133475,45672.05389302359,67511.59966368761,94977.11207299225
NY,34958.208205881536,47416.71857712655,57178.98416653496,99240.40276318604
OH,34970.38445566411,50269.927655017156,56389.744934758375,97042.81686446791
OK,34794.554483317756,45041.49447678674,54612.812053103924,83326.76478205547
OR,32829.3250290774,46899.035755824865,58811.39083780438,93798.07151164973
PA,35322.47340425532,50698.13829787234,57035.40558510638,97697.80585106384
RI,34465.26188812193,49783.15606062057,62228.94507577571,105310.52243592813
SC,35460.99290780142,46067.15090741574,57208.97345246513,88920.31454222108
SD,36425.31103800754,51223.0936471981,61296.968731147055,96845.79572230253
TN,34858.387799564276,46840.95860566449,55664.4880174292,91176.4705882353
TX,36648.838426871705,48249.171038178436,62210.63329603433,95779.73740132018
UT,35944.60302357543,47573.73929590866,80981.07622370229,114811.29083412622
VA,39205.69266657519,53907.82741654089,67139.74869151002,111246.1529414071
VT,33058.50563677215,47509.22965763661,56545.88104876625,94820.50419169974
WA,37260.87154087336,53619.30294906167,65161.08510928341,104512.20066342528
WI,37878.377939632686,51947.489745781975,62120.53982099761,100107.14169760067
WV,33648.50768868401,44864.67691824534,49238.982917774265,83223.97568334511
WY,34870.9230987174,47947.51926073643,61242.05869212244,93061.77601970207
